name,position,team
Danilo dos Santos de Oliveira,MID,Nott'm Forest
David Raya Martin,GK,Brentford
Jacob Murphy,MID,Newcastle
Thomas Kaminski,GK,Luton
Jean-Philippe Mateta,FWD,Crystal Palace
Ben Pearson,MID,Bournemouth
Bailey Peacock-Farrell,GK,Burnley
Felipe Augusto de Almeida Monteiro,DEF,Nott'm Forest
William Saliba,DEF,Arsenal
Michael Obafemi,FWD,Burnley
Ben Godfrey,DEF,Everton
Victor da Silva,DEF,Burnley
André Tavares Gomes,MID,Everton
Destiny Udogie,DEF,Spurs
Ryan Trevitt,MID,Brentford
Dion Pereira,MID,Luton
Connor Roberts,DEF,Burnley
Douglas Luiz Soares de Paulo,MID,Aston Villa
Mark Flekken,GK,Brentford
Martin Dubravka,GK,Newcastle
James McConnell,MID,Liverpool
Stefan Bajcetic,MID,Liverpool
Andreas Hoelgebaum Pereira,MID,Fulham
Marc Cucurella Saseta,DEF,Chelsea
João Palhinha Gonçalves,MID,Fulham
Bryan Gil Salvatierra,MID,Spurs
Neco Williams,DEF,Nott'm Forest
Harrison Ashby,DEF,Newcastle
Billy Gilmour,MID,Brighton
John Egan,DEF,Sheffield Utd
Mikkel Damsgaard,MID,Brentford
Angelo Ogbonna,DEF,West Ham
Chris Basham,DEF,Sheffield Utd
Son Heung-min,MID,Spurs
Joe Gomez,DEF,Liverpool
Darren Randolph,GK,Bournemouth
Ben Johnson,DEF,West Ham
Pedro Porro,DEF,Spurs
Manuel Benson Hedilazio,MID,Burnley
Levi Colwill,DEF,Chelsea
Jonathan Panzo,DEF,Nott'm Forest
Pablo Fornals Malla,MID,West Ham
Elijah Adebayo,FWD,Luton
Rico Henry,DEF,Brentford
Bobby Clark,MID,Liverpool
Flynn Downes,MID,West Ham
Ben Greenwood,DEF,Bournemouth
Joe Willock,MID,Newcastle
Javier Manquillo Gaitán,DEF,Newcastle
Kobbie Mainoo,MID,Man Utd
Dominic Calvert-Lewin,FWD,Everton
Tommy Doyle,MID,Man City
Halil Dervişoğlu,FWD,Brentford
Gabriel Osho,DEF,Luton
João Pedro Junqueira de Jesus,FWD,Brighton
Kurt Zouma,DEF,West Ham
Omar Richards,DEF,Nott'm Forest
Iliman Ndiaye,FWD,Sheffield Utd
Elliot Thorpe,MID,Luton
Shea Charles,MID,Man City
Joe Rodon,DEF,Spurs
Neal Maupay,FWD,Everton
Jordan Ayew,MID,Crystal Palace
Divin Mubama,FWD,West Ham
Nathaniel Phillips,DEF,Liverpool
Dominik Szoboszlai,MID,Liverpool
Jordan Clark,MID,Luton
Mason Mount,MID,Man Utd
Ellery Balcombe,GK,Brentford
David Brooks,MID,Bournemouth
Pascal Groß,MID,Brighton
John McGinn,MID,Aston Villa
Tanguy Ndombélé Alvaro,MID,Spurs
Jairo Riedewald,MID,Crystal Palace
Yoane Wissa,FWD,Brentford
Reiss Nelson,MID,Arsenal
Facundo Pellistri Rebollo,MID,Man Utd
James Hill,DEF,Bournemouth
Bruno Cavaco Jordão,MID,Wolves
Kjell Scherpen,GK,Brighton
Máximo Perrone,MID,Man City
Aleksandar Mitrović,FWD,Fulham
Kevin Schade,MID,Brentford
Moussa Niakhaté,DEF,Nott'm Forest
Paul Dummett,DEF,Newcastle
Sven Botman,DEF,Newcastle
Issa Diop,DEF,Fulham
Aaron Ramsdale,GK,Arsenal
Tosin Adarabioyo,DEF,Fulham
Trent Alexander-Arnold,DEF,Liverpool
Anass Zaroury,MID,Burnley
Pervis Estupiñán,DEF,Brighton
Chiedozie Ogbene,FWD,Luton
Harvey Elliott,MID,Liverpool
Jack Robinson,DEF,Sheffield Utd
Gabriel Martinelli Silva,MID,Arsenal
Wout Weghorst,FWD,Burnley
Jhon Durán,FWD,Aston Villa
Oscar Bobb,MID,Man City
Michail Antonio,FWD,West Ham
Malang Sarr,DEF,Chelsea
Ângelo Gabriel Borges Damaceno,MID,Chelsea
Micky van de Ven,DEF,Spurs
Shola Shoretire,FWD,Man Utd
Lisandro Martínez,DEF,Man Utd
Alex Mighten,MID,Nott'm Forest
Bryan Mbeumo,MID,Brentford
Nicolas Pépé,MID,Arsenal
Alexis Mac Allister,MID,Liverpool
Omari Kellyman,MID,Aston Villa
Youri Tielemans,MID,Aston Villa
Remo Freuler,MID,Nott'm Forest
Illia Zabarnyi,DEF,Bournemouth
Karl Hein,GK,Arsenal
Aaron Connolly,FWD,Brighton
Dean Henderson,GK,Man Utd
Jay Rodriguez,FWD,Burnley
Marcos Senesi,DEF,Bournemouth
Granit Xhaka,MID,Arsenal
James Trafford,GK,Burnley
Dan Burn,DEF,Newcastle
Saïd Benrahma,MID,West Ham
Brandon Aguilera Zamora,MID,Nott'm Forest
Tyler Onyango,MID,Everton
Joe Taylor,FWD,Luton
Karl Darlow,GK,Newcastle
Joachim Andersen,DEF,Crystal Palace
Allan Campbell,MID,Luton
Carlos Mendes Gomes,MID,Luton
Pedro Lomba Neto,MID,Wolves
Luc De Fougerolles,DEF,Fulham
Dane Scarlett,FWD,Spurs
Lucas Digne,DEF,Aston Villa
Enzo Fernández,MID,Chelsea
Matt Targett,DEF,Newcastle
Demarai Gray,MID,Everton
Stefan Ortega Moreno,GK,Man City
Sam Johnstone,GK,Crystal Palace
Emiliano Buendía Stati,MID,Aston Villa
Alexandre Moreno Lopera,DEF,Aston Villa
Japhet Tanganga,DEF,Spurs
Marvelous Nakamba,MID,Luton
Nathan Collins,DEF,Brentford
Leandro Trossard,MID,Arsenal
Antony Matheus dos Santos,MID,Man Utd
Trevoh Chalobah,DEF,Chelsea
Luke Cundle,MID,Wolves
Lukasz Fabianski,GK,West Ham
Tino Livramento,DEF,Newcastle
Aymeric Laporte,DEF,Man City
Kieran Trippier,DEF,Newcastle
Richarlison de Andrade,MID,Spurs
John McAtee,FWD,Luton
Jayden Bogle,DEF,Sheffield Utd
Jason Steele,GK,Brighton
Nick Pope,GK,Newcastle
Kai Havertz,MID,Arsenal
Wesley Moraes Ferreira da Silva,FWD,Aston Villa
Vladimír Coufal,DEF,West Ham
Marcus Rashford,MID,Man Utd
Lewis O'Brien,MID,Nott'm Forest
Evan Ferguson,FWD,Brighton
Tom McGill,GK,Brighton
Yves Bissouma,MID,Spurs
João Victor Gomes da Silva,MID,Wolves
Abdoulaye Doucouré,MID,Everton
Ederson Santana de Moraes,GK,Man City
Virgil van Dijk,DEF,Liverpool
Willy Boly,DEF,Nott'm Forest
Scott McTominay,MID,Man Utd
Rico Lewis,DEF,Man City
Alejandro Garnacho,MID,Man Utd
Jean-Philippe Gbamin,MID,Everton
Lewis Dobbin,MID,Everton
Riyad Mahrez,MID,Man City
Matija Šarkić,GK,Wolves
Auston Trusty,DEF,Sheffield Utd
Anthony Gordon,MID,Newcastle
Emmanuel Dennis,FWD,Nott'm Forest
Nathaniel Clyne,DEF,Crystal Palace
Thiago Alcántara do Nascimento,MID,Liverpool
Ryan Giles,DEF,Luton
Admiral Muskwe,FWD,Luton
Edson Álvarez Velázquez,MID,West Ham
Jakub Kiwior,DEF,Arsenal
Lloyd Kelly,DEF,Bournemouth
Vitalii Mykolenko,DEF,Everton
Aidan Francis-Clarke,DEF,Luton
Emerson Leite de Souza Junior,DEF,Spurs
Joël Veltman,DEF,Brighton
Miguel Almirón Rejala,MID,Newcastle
Bobby Thomas,DEF,Burnley
Charlie Goode,DEF,Brentford
Alejo Véliz,FWD,Spurs
Kepa Arrizabalaga,GK,Chelsea
Mark Travers,GK,Bournemouth
Guglielmo Vicario,GK,Spurs
Isaac Hayden,MID,Newcastle
Jamaal Lascelles,DEF,Newcastle
Andrew Robertson,DEF,Liverpool
Giovani Lo Celso,MID,Spurs
Jeffrey Schlupp,MID,Crystal Palace
Alex Iwobi,MID,Everton
Cody Gakpo,FWD,Liverpool
Nicolas Jackson,FWD,Chelsea
Nikola Vlašić,MID,West Ham
Adam Lallana,MID,Brighton
Hugo Bueno López,DEF,Wolves
Alphonse Areola,GK,West Ham
Alisson Ramses Becker,GK,Liverpool
Pape Matar Sarr,MID,Spurs
Aribim Pepple,FWD,Luton
Matt Doherty,DEF,Wolves
Gonçalo Manuel Ganchinho Guedes,MID,Wolves
Ellis Simms,FWD,Everton
Jonathan Castro Otto,DEF,Wolves
Taiwo Awoniyi,FWD,Nott'm Forest
Mads Roerslev Rasmussen,DEF,Brentford
Calvin Bassey,DEF,Fulham
Konstantinos Tsimikas,DEF,Liverpool
Mahmoud Dahoud,MID,Brighton
Ian Maatsen,MID,Chelsea
Max Lowe,DEF,Sheffield Utd
Joe Whitworth,GK,Crystal Palace
Thomas Cannon,FWD,Everton
Hannibal Mejbri,MID,Man Utd
Boubacar Kamara,MID,Aston Villa
Andrey Nascimento dos Santos,MID,Chelsea
Loris Karius,GK,Newcastle
Bart Verbruggen,GK,Brighton
Tahith Chong,MID,Luton
Morgan Sanson,MID,Aston Villa
Bernd Leno,GK,Fulham
Josh Dasilva,MID,Brentford
Josh Bowler,MID,Nott'm Forest
Oleksandr Zinchenko,DEF,Arsenal
Tyrese Francois,MID,Fulham
Callum Wilson,FWD,Newcastle
Allan Saint-Maximin,MID,Newcastle
Zeki Amdouni,FWD,Burnley
Steven Alzate,MID,Brighton
Jóhann Berg Gudmundsson,MID,Burnley
Keinan Davis,FWD,Aston Villa
Bruno Borges Fernandes,MID,Man Utd
Hamed Traorè,MID,Bournemouth
Jeremy Sarmiento Morante,MID,Brighton
Issa Kaboré,DEF,Luton
Sam Surridge,FWD,Nott'm Forest
Reece Burke,DEF,Luton
Jesurun Rak-Sakyi,MID,Crystal Palace
Gabriel Fernando de Jesus,FWD,Arsenal
Dara O'Shea,DEF,Burnley
Eric Dier,DEF,Spurs
Joel Ward,DEF,Crystal Palace
Harvey Barnes,MID,Newcastle
Mateo Kovačić,MID,Man City
Ashley Young,DEF,Everton
Aaron Cresswell,DEF,West Ham
Sergio Reguilón,DEF,Spurs
Morgan Gibbs-White,MID,Nott'm Forest
Raphaël Varane,DEF,Man Utd
Igor Julio dos Santos de Paulo,DEF,Brighton
Brandon Williams,DEF,Man Utd
Hugo Lloris,GK,Spurs
Fabian Schär,DEF,Newcastle
Orel Mangala,MID,Nott'm Forest
Frederico Rodrigues de Paula Santos,MID,Man Utd
Marek Rodák,GK,Fulham
Shandon Baptiste,MID,Brentford
Michał Karbownik,DEF,Brighton
Mason Burstow,FWD,Chelsea
André Onana,GK,Man Utd
Julián Álvarez,FWD,Man City
Maxwel Cornet,MID,West Ham
Terence Kongolo,DEF,Fulham
Caoimhin Kelleher,GK,Liverpool
Ivan Neves Abreu Cavaleiro,MID,Fulham
Chris Mepham,DEF,Bournemouth
Facundo Buonanotte,MID,Brighton
Samuel Bastien,MID,Burnley
John Fleck,MID,Sheffield Utd
Rodrigo Muniz Carvalho,FWD,Fulham
Arijanet Muric,GK,Burnley
Josh Cullen,MID,Burnley
Thomas Strakosha,GK,Brentford
Fábio Ferreira Vieira,MID,Arsenal
Cheick Doucouré,MID,Crystal Palace
Joe Hodge,MID,Wolves
Omari Forson,MID,Man Utd
Joel Matip,DEF,Liverpool
Davinson Sánchez,DEF,Spurs
Craig Dawson,DEF,Wolves
Toti António Gomes,DEF,Wolves
Nayef Aguerd,DEF,West Ham
Diogo Dalot Teixeira,DEF,Man Utd
Amadou Onana,MID,Everton
Adrián San Miguel del Castillo,GK,Liverpool
Youssef Ramalho Chermiti,FWD,Everton
Bukayo Saka,MID,Arsenal
Ben Mee,DEF,Brentford
Joe Worrall,DEF,Nott'm Forest
Diego Carlos Santos Silva,DEF,Aston Villa
Lewis Cook,MID,Bournemouth
Bendegúz Bolla,DEF,Wolves
Malo Gusto,DEF,Chelsea
Amari'i Bell,DEF,Luton
Dele Alli,MID,Everton
Noni Madueke,MID,Chelsea
Milos Kerkez,DEF,Bournemouth
Luke Berry,MID,Luton
Kortney Hause,DEF,Aston Villa
Will Hughes,MID,Crystal Palace
Alexander Isak,FWD,Newcastle
John-Kymani Gordon,FWD,Crystal Palace
Cheikhou Kouyaté,MID,Nott'm Forest
Cédric Alves Soares,DEF,Arsenal
Pierre-Emerick Aubameyang,FWD,Chelsea
Garang Kuol,MID,Newcastle
Antwoine Hackford,FWD,Sheffield Utd
Ethan Pinnock,DEF,Brentford
Jay Stansfield,FWD,Fulham
Ryan Yates,MID,Nott'm Forest
Frank Onyeka,MID,Brentford
Naouirou Ahamada,MID,Crystal Palace
Philip Billing,MID,Bournemouth
Gabriel Słonina,GK,Chelsea
Marc Guéhi,DEF,Crystal Palace
Seamus Coleman,DEF,Everton
Diogo Teixeira da Silva,MID,Liverpool
Matthew Dibley-Dias,MID,Fulham
James McAtee,MID,Man City
Erling Haaland,FWD,Man City
Jack Cork,MID,Burnley
Anthony Martial,FWD,Man Utd
Danny Welbeck,FWD,Brighton
Carlos Vinícius Alves Morais,FWD,Fulham
Olu Aina,DEF,Nott'm Forest
Rodrigo Hernandez,MID,Man City
Victor Lindelöf,DEF,Man Utd
Kevin De Bruyne,MID,Man City
George Shelvey,GK,Nott'm Forest
Lucas Bergström,GK,Chelsea
Yasin Ayari,MID,Brighton
Lewis Miley,MID,Newcastle
Fred Onyedinma,MID,Luton
Gustavo Henrique Furtado Scarpa,MID,Nott'm Forest
Aaron Hickey,DEF,Brentford
Mads Bidstrup,MID,Brentford
Solly March,MID,Brighton
David Datro Fofana,FWD,Chelsea
Declan Rice,MID,Arsenal
Kacper Kozłowski,MID,Brighton
Joe Rothwell,MID,Bournemouth
Vini de Souza Costa,MID,Sheffield Utd
Ben Doak,MID,Liverpool
Sander Berge,MID,Burnley
Fabio Henrique Tavares,MID,Liverpool
Louie Marsh,FWD,Sheffield Utd
Oliver McBurnie,FWD,Sheffield Utd
Mathias Jensen,MID,Brentford
Matt Macey,GK,Luton
Wesley Fofana,DEF,Chelsea
Ryan Fredericks,DEF,Bournemouth
Max Kilman,DEF,Wolves
Nathan Aké,DEF,Man City
Lewis Hall,DEF,Chelsea
Elliot Anderson,MID,Newcastle
Mykhailo Mudryk,MID,Chelsea
Siriki Dembélé,MID,Bournemouth
Dejan Kulusevski,MID,Spurs
Daniel Castelo Podence,MID,Wolves
Michale Olakigbe,MID,Brentford
Conor Gallagher,MID,Chelsea
Eberechi Eze,MID,Crystal Palace
Jonjo Shelvey,MID,Nott'm Forest
Thilo Kehrer,DEF,West Ham
Ameen Al-Dakhil,DEF,Burnley
Hwang Ui-jo,FWD,Nott'm Forest
Julio Enciso,MID,Brighton
Norberto Murara Neto,GK,Bournemouth
Richie Laryea,DEF,Nott'm Forest
Antonee Robinson,DEF,Fulham
Raúl Jiménez,FWD,Fulham
Louie Watson,MID,Luton
Hwang Hee-chan,MID,Wolves
Willian Borges da Silva,MID,Fulham
Rhian Brewster,FWD,Sheffield Utd
Tom Lockyer,DEF,Luton
Jordan Pickford,GK,Everton
Anis Slimane,MID,Sheffield Utd
Bruno Guimarães Rodriguez Moura,MID,Newcastle
Ryan Fraser,MID,Newcastle
Anthony Knockaert,MID,Fulham
Harry Maguire,DEF,Man Utd
Matheus Santos Carneiro Da Cunha,FWD,Wolves
Francisco Jorge Tomás Oliveira,MID,Wolves
Ki-Jana Hoever,DEF,Wolves
Jacob Bruun Larsen,MID,Burnley
Loïc Mbe Soh,DEF,Nott'm Forest
Moussa Diaby,MID,Aston Villa
Alfie Doughty,DEF,Luton
João Cancelo,DEF,Man City
Pau Torres,DEF,Aston Villa
Mohamed Elneny,MID,Arsenal
Jarrad Branthwaite,DEF,Everton
Martin Ødegaard,MID,Arsenal
Matheus Luiz Nunes,MID,Wolves
Tom King,GK,Wolves
Rúben Gato Alves Dias,DEF,Man City
Dan Potts,DEF,Luton
Djed Spence,DEF,Spurs
Cameron Archer,FWD,Aston Villa
Emiliano Martínez Romero,GK,Aston Villa
Bobby De Cordova-Reid,MID,Fulham
Tomáš Souček,MID,West Ham
Ross Barkley,MID,Luton
Joško Gvardiol,DEF,Man City
Cole Palmer,MID,Man City
Ivan Perišić,DEF,Spurs
Jordan Amissah,GK,Sheffield Utd
Carlos Henrique Casimiro,MID,Man Utd
Tom Heaton,GK,Man Utd
Sepp van den Berg,DEF,Liverpool
Anel Ahmedhodžić,DEF,Sheffield Utd
Max Aarons,DEF,Bournemouth
Josh Powell,DEF,Nott'm Forest
Cristian Romero,DEF,Spurs
Daniel Bentley,GK,Wolves
Ethan Ampadu,DEF,Chelsea
Jan Paul van Hecke,DEF,Brighton
Yasser Larouci,DEF,Sheffield Utd
Carney Chukwuemeka,MID,Chelsea
Carlton Morris,FWD,Luton
Adam Davies,GK,Sheffield Utd
Tyrick Mitchell,DEF,Crystal Palace
James Maddison,MID,Spurs
Cauley Woodrow,FWD,Luton
Mohamed Salah,MID,Liverpool
Harry Kane,FWD,Spurs
Yegor Yarmolyuk,MID,Brentford
Zack Steffen,GK,Man City
Antoine Semenyo,FWD,Bournemouth
Christian Pulisic,MID,Chelsea
Adam Webster,DEF,Brighton
Darwin Núñez Ribeiro,FWD,Liverpool
Axel Disasi,DEF,Chelsea
Enock Agyei,MID,Burnley
Folarin Balogun,FWD,Arsenal
Tyrone Mings,DEF,Aston Villa
Conor Coventry,MID,West Ham
Ismaila Coulibaly,MID,Sheffield Utd
Josh Brownhill,MID,Burnley
Fraser Forster,GK,Spurs
Jefferson Lerma Solís,MID,Crystal Palace
Luke Freeman,MID,Luton
Lewis Dunk,DEF,Brighton
César Azpilicueta,DEF,Chelsea
Steve Cook,DEF,Nott'm Forest
Hjalmar Ekdal,DEF,Burnley
Alex Telles,DEF,Man Utd
José Malheiro de Sá,GK,Wolves
João Neves Virgínia,GK,Everton
Saša Lukić,MID,Fulham
Emiliano Marcondes,MID,Bournemouth
Jacob Ramsey,MID,Aston Villa
Sandro Tonali,MID,Newcastle
Keane Lewis-Potter,MID,Brentford
Dwight McNeil,MID,Everton
Moisés Caicedo Corozo,MID,Brighton
Jorge Luiz Frello Filho,MID,Arsenal
Kenny Tete,DEF,Fulham
Darko Churlinov,MID,Burnley
Jack Walton,GK,Luton
Adam Smith,DEF,Bournemouth
CJ Egan-Riley,DEF,Burnley
Romelu Lukaku Bolingoli,FWD,Chelsea
James Garner,MID,Everton
Thiago Emiliano da Silva,DEF,Chelsea
Rob Holding,DEF,Arsenal
Aaron Wan-Bissaka,DEF,Man Utd
Deniz Undav,FWD,Brighton
Álvaro Fernández Carreras,DEF,Man Utd
Bertrand Traoré,MID,Aston Villa
Nathan Patterson,DEF,Everton
Christopher Nkunku,FWD,Chelsea
Serge Aurier,DEF,Nott'm Forest
Tom Cairney,MID,Fulham
Harry Arter,MID,Nott'm Forest
Mohamed Dräger,DEF,Nott'm Forest
Rúnar Alex Rúnarsson,GK,Arsenal
Scott Carson,GK,Man City
Bénie Traoré,FWD,Sheffield Utd
Jurriën Timber,DEF,Arsenal
Jordan Beyer,DEF,Burnley
Wes Foderingham,GK,Sheffield Utd
Odsonne Edouard,FWD,Crystal Palace
Jamal Lowe,MID,Bournemouth
Owen Dodgson,DEF,Burnley
Matt Ritchie,MID,Newcastle
Lyle Foster,FWD,Burnley
James Milner,MID,Brighton
Nathan Redmond,MID,Burnley
Mathias Jorgensen,DEF,Brentford
Michael Olise,MID,Crystal Palace
Oliver Skipp,MID,Spurs
Leander Dendoncker,MID,Aston Villa
Scott McKenna,DEF,Nott'm Forest
Michael Keane,DEF,Everton
Sasa Kalajdzic,FWD,Wolves
Jarrod Bowen,MID,West Ham
Matt Turner,GK,Nott'm Forest
Raheem Sterling,MID,Chelsea
Kell Watts,DEF,Newcastle
Mads Juel Andersen,DEF,Luton
Sergi Canós Tenés,MID,Brentford
Ryan Christie,MID,Bournemouth
Robert Sánchez,GK,Chelsea
Gavin Kilkenny,MID,Bournemouth
Armando Broja,FWD,Chelsea
Dominic Solanke,FWD,Bournemouth
Chris Wood,FWD,Nott'm Forest
Alex Scott,MID,Bournemouth
Jaden Philogene-Bidace,MID,Aston Villa
Kalvin Phillips,MID,Man City
Rodrigo Bentancur,MID,Spurs
Matty Cash,DEF,Aston Villa
Mason Holgate,DEF,Everton
Glen Rea,MID,Luton
Jaidon Anthony,MID,Bournemouth
Tariq Lamptey,DEF,Brighton
Joseph Anang,GK,West Ham
George Baldock,DEF,Sheffield Utd
Jeff Hendrick,MID,Newcastle
Mark Gillespie,GK,Newcastle
Nélson Cabral Semedo,DEF,Wolves
Kevin Mbabu,DEF,Fulham
Tyrell Malacia,DEF,Man Utd
Chris Richards,DEF,Crystal Palace
Jordan Henderson,MID,Liverpool
Kyle Walker,DEF,Man City
Jacob Brown,FWD,Luton
Vicente Guaita,GK,Crystal Palace
Braian Ojeda Rodríguez,MID,Nott'm Forest
Mads Bech Sørensen,DEF,Brentford
Josh Brooking,DEF,Chelsea
Radek Vítek,GK,Man Utd
Divock Origi,FWD,Nott'm Forest
Devan Tanton,DEF,Fulham
Anssumane Fati Vieira,MID,Brighton
Ji-Soo Kim,DEF,Brentford
Carlos Baleba,MID,Brighton
Ashley Phillips,DEF,Spurs
Luis Sinisterra,MID,Bournemouth
Jayden Luker,MID,Luton
Jonny Evans,DEF,Man Utd
Eddie Beach,GK,Chelsea
Jadan Raymond,MID,Crystal Palace
Wilson Odobert,MID,Burnley
Jili Buyabu,DEF,Sheffield Utd
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest
Wataru Endo,MID,Liverpool
Joseph Johnson,DEF,Luton
Ryan Oné,MID,Sheffield Utd
Ibrahim Sangaré,MID,Nott'm Forest
Enso González,MID,Wolves
Jamie Donley,FWD,Spurs
Adama Traoré,MID,Fulham
Ademola Ola-Adebomi,FWD,Crystal Palace
David Ozoh,MID,Crystal Palace
Gustavo Hamer,MID,Sheffield Utd
Saman Ghoddos,MID,Brentford
Alfie Gilchrist,DEF,Chelsea
Djordje Petrovic,GK,Chelsea
Fodé Ballo-Touré,DEF,Fulham
Tyler Adams,MID,Bournemouth
Norberto Bercique Gomes Betuncal,FWD,Everton
Mohammed Kudus,MID,West Ham
Andrew Omobamidele,DEF,Nott'm Forest
Jean-Ricner Bellegarde,MID,Wolves
Ethan Brierley,MID,Brentford
Luke Chambers,DEF,Liverpool
Mike Trésor,MID,Burnley
James Ward-Prowse,MID,West Ham
Ryan Gravenberch,MID,Liverpool
Sofyan Amrabat,MID,Man Utd
Bashir Humphreys,DEF,Chelsea
Han-Noah Massengo,MID,Burnley
Tim Krul,GK,Luton
Clément Lenglet,DEF,Aston Villa
Hannes Delcroix,DEF,Burnley
Callum Scanlon,DEF,Liverpool
Tom Davies,MID,Sheffield Utd
Nicolò Zaniolo,MID,Aston Villa
Roméo Lavia,MID,Chelsea
Deivid Washington de Souza Eugênio,FWD,Chelsea
Oliwier Zych,GK,Aston Villa
Mackenzie Hunt,MID,Everton
Steven Benda,GK,Fulham
Jérémy Doku,MID,Man City
Michael Olakigbe,MID,Brentford
Santiago Bueno,DEF,Wolves
Luke Harris,MID,Fulham
Luke Thomas,DEF,Sheffield Utd
Gonzalo Montiel,DEF,Nott'm Forest
Odysseas Vlachodimos,GK,Nott'm Forest
Altay Bayindir,GK,Man Utd
Nicolás Domínguez,MID,Nott'm Forest
Nathan Fraser,FWD,Wolves
Jack Harrison,MID,Everton
Timothy Castagne,DEF,Fulham
Alex Matos,MID,Chelsea
Konstantinos Mavropanos,DEF,West Ham
Diego Manuel Jadon da Silva Moreira,MID,Chelsea
Aaron Ramsey,MID,Burnley
Filip Marschall,GK,Aston Villa
