name,position,team
Morgan Gibbs-White,MID,Wolves
Mads Bidstrup,MID,Brentford
Ryan Christie,MID,Bournemouth
Carney Chukwuemeka,MID,Chelsea
Matty Cash,DEF,Aston Villa
Bernardo Veiga de Carvalho e Silva,MID,Man City
Javier Manquillo Gaitán,DEF,Newcastle
Bertrand Traoré,MID,Aston Villa
Raphaël Varane,DEF,Man Utd
Cody Drameh,DEF,Leeds
Vitalii Mykolenko,DEF,Everton
Kyle Walker,DEF,Man City
Scott Carson,GK,Man City
Dominic Solanke,FWD,Bournemouth
Vitaly Janelt,MID,Brentford
Robert Sánchez,GK,Brighton
Edouard Mendy,GK,Chelsea
Luke Ayling,DEF,Leeds
Eric Bailly,DEF,Man Utd
Hugo Bueno López,DEF,Wolves
Lewis Warrington,MID,Everton
Pierre-Emile Højbjerg,MID,Spurs
Jesurun Rak-Sakyi,MID,Crystal Palace
Jairo Riedewald,MID,Crystal Palace
Declan Rice,MID,West Ham
Daniel Amartey,DEF,Leicester
Anthony Gordon,MID,Everton
David Raya Martin,GK,Brentford
Dane Scarlett,FWD,Spurs
Aaron Hickey,DEF,Brentford
Rúben Nascimento Vinagre,DEF,Everton
Solly March,MID,Brighton
Dwight Gayle,FWD,Newcastle
Brenden Aaronson,MID,Leeds
Danny Ward,GK,Leicester
Joachim Andersen,DEF,Crystal Palace
Kjell Scherpen,GK,Brighton
Jack Stephens,DEF,Southampton
James McArthur,MID,Crystal Palace
Wilfred Ndidi,MID,Leicester
Ederson Santana de Moraes,GK,Man City
Angelo Ogbonna,DEF,West Ham
Jarrod Bowen,MID,West Ham
Matija Šarkić,GK,Wolves
Malang Sarr,DEF,Chelsea
Anthony Knockaert,MID,Fulham
Joe Rodon,DEF,Spurs
Anthony Martial,FWD,Man Utd
Ben Davies,DEF,Liverpool
Jan Bednarek,DEF,Southampton
Bryan Mbeumo,FWD,Brentford
Naby Keita,MID,Liverpool
Archie Gray,MID,Leeds
Amad Diallo,MID,Man Utd
Billy Gilmour,MID,Chelsea
Marcus Rashford,MID,Man Utd
Julián Álvarez,FWD,Man City
Mateusz Lis,GK,Southampton
Takehiro Tomiyasu,DEF,Arsenal
Emil Krafth,DEF,Newcastle
John Stones,DEF,Man City
Lucas Digne,DEF,Aston Villa
Shandon Baptiste,MID,Brentford
Nathan Aké,DEF,Man City
Bukayo Saka,MID,Arsenal
Lloyd Kelly,DEF,Bournemouth
Trent Alexander-Arnold,DEF,Liverpool
Kiernan Dewsbury-Hall,MID,Leicester
Mohamed Salah,MID,Liverpool
Ross Barkley,MID,Chelsea
Thomas Partey,MID,Arsenal
Gavin Bazunu,GK,Southampton
Cameron Archer,FWD,Aston Villa
André Tavares Gomes,MID,Everton
Lyanco Silveira Neves Vojnovic,DEF,Southampton
Thomas Strakosha,GK,Brentford
Ben Chilwell,DEF,Chelsea
Lewis Dunk,DEF,Brighton
Alfie Devine,MID,Spurs
Giulian Biancone,DEF,Nott'm Forest
Dennis Praet,MID,Leicester
William Saliba,DEF,Arsenal
Haydon Roberts,DEF,Brighton
Craig Dawson,DEF,West Ham
Bryan Gil Salvatierra,MID,Spurs
Emiliano Buendía Stati,MID,Aston Villa
Nathan Ferguson,DEF,Crystal Palace
Son Heung-min,MID,Spurs
Aaron Ramsdale,GK,Arsenal
Tyrick Mitchell,DEF,Crystal Palace
Max Kilman,DEF,Wolves
Liam Delap,FWD,Man City
Dwight McNeil,MID,Everton
N'Golo Kanté,MID,Chelsea
Harry Toffolo,DEF,Nott'm Forest
Jefferson Lerma Solís,MID,Bournemouth
Ezri Konsa Ngoyo,DEF,Aston Villa
Chris Mepham,DEF,Bournemouth
Willy Caballero,GK,Southampton
Alex Mighten,MID,Nott'm Forest
Keinan Davis,FWD,Aston Villa
Robin Olsen,GK,Aston Villa
Josh Dasilva,MID,Brentford
Roberto Firmino,FWD,Liverpool
Thiago Alcántara do Nascimento,MID,Liverpool
João Palhinha Gonçalves,MID,Fulham
Matt Clarke,DEF,Brighton
Kieran Trippier,DEF,Newcastle
Moussa Niakhaté,DEF,Nott'm Forest
Bernd Leno,GK,Fulham
Kyle Walker-Peters,DEF,Southampton
Joe Rothwell,MID,Bournemouth
Nuno Varela Tavares,DEF,Arsenal
Daniel Iversen,GK,Leicester
Steven Bergwijn,MID,Spurs
Saman Ghoddos,MID,Brentford
Connor Ronan,MID,Wolves
Aymeric Laporte,DEF,Man City
Joelinton Cássio Apolinário de Lira,MID,Newcastle
Joseph Hodge,MID,Wolves
Alex Iwobi,MID,Everton
Adam Forshaw,MID,Leeds
Ben Pearson,MID,Bournemouth
Joel Matip,DEF,Liverpool
Sven Botman,DEF,Newcastle
Saïd Benrahma,MID,West Ham
Fabio Henrique Tavares,MID,Liverpool
Hakim Ziyech,MID,Chelsea
Robert Kenedy Nunes do Nascimento,DEF,Chelsea
Willy Boly,DEF,Wolves
Tomas Soucek,MID,West Ham
Leo Fuhr Hjelde,DEF,Leeds
Mads Roerslev Rasmussen,DEF,Brentford
Wilfried Zaha,MID,Crystal Palace
Sean Longstaff,MID,Newcastle
Mads Bech Sørensen,DEF,Brentford
Tom Davies,MID,Everton
Granit Xhaka,MID,Arsenal
Lisandro Martínez,DEF,Man Utd
Pape Matar Sarr,MID,Spurs
Junior Firpo Adames,DEF,Leeds
Harvey Barnes,MID,Leicester
Michail Antonio,FWD,West Ham
Mohamed Elyounoussi,MID,Southampton
Frank Onyeka,MID,Brentford
Zidane Iqbal,MID,Man Utd
Niels Nkounkou,DEF,Everton
Rodrigo Bentancur,MID,Spurs
Mason Mount,MID,Chelsea
Nayef Aguerd,DEF,West Ham
Manor Solomon,MID,Fulham
Raúl Jiménez,FWD,Wolves
Luke Chambers,DEF,Liverpool
Kai Havertz,FWD,Chelsea
Ibrahima Diallo,MID,Southampton
Adam Armstrong,FWD,Southampton
Joe Worrall,DEF,Nott'm Forest
Danny Welbeck,FWD,Brighton
Jorge Luiz Frello Filho,MID,Chelsea
Timo Werner,FWD,Chelsea
Wayne Hennessey,GK,Nott'm Forest
Andreas Hoelgebaum Pereira,MID,Fulham
Rúben Gato Alves Dias,DEF,Man City
Ellery Balcombe,GK,Brentford
Jean-Philippe Gbamin,MID,Everton
Oleksandr Zinchenko,DEF,Arsenal
Emerson Leite de Souza Junior,DEF,Spurs
Daniel Castelo Podence,MID,Wolves
Michael Olise,MID,Crystal Palace
Richie Laryea,DEF,Nott'm Forest
Marc Cucurella Saseta,DEF,Chelsea
Jamie Shackleton,MID,Leeds
Ollie Watkins,FWD,Aston Villa
James Hill,DEF,Bournemouth
Adam Smith,DEF,Bournemouth
Zack Steffen,GK,Man City
Leandro Trossard,MID,Brighton
Ben Johnson,DEF,West Ham
Paulo Gazzaniga Farias,GK,Fulham
Jesse Lingard,MID,Nott'm Forest
Nathan Patterson,DEF,Everton
Jacob Murphy,MID,Newcastle
Sam Surridge,FWD,Nott'm Forest
Jamie Vardy,FWD,Leicester
Benjamin White,DEF,Arsenal
Konstantinos Tsimikas,DEF,Liverpool
James Tomkins,DEF,Crystal Palace
Mohamed Elneny,MID,Arsenal
Jackson Smith,GK,Wolves
Jacob Ramsey,MID,Aston Villa
Jamaal Lascelles,DEF,Newcastle
Braian Ojeda Rodríguez,MID,Nott'm Forest
Allan Saint-Maximin,MID,Newcastle
Kieffer Moore,FWD,Bournemouth
Kaoru Mitoma,MID,Brighton
Flynn Downes,MID,West Ham
Pedro Lomba Neto,MID,Wolves
Issa Diop,DEF,West Ham
Emile Smith Rowe,MID,Arsenal
Rico Henry,DEF,Brentford
Matt Turner,GK,Arsenal
Harry Wilson,MID,Fulham
Halil Dervişoğlu,FWD,Brentford
Tim Ream,DEF,Fulham
Sergi Canós Tenés,DEF,Brentford
Joel Ward,DEF,Crystal Palace
Hwang Hee-chan,MID,Wolves
Jarrad Branthwaite,DEF,Everton
Harvey Elliott,MID,Liverpool
Robin Koch,DEF,Leeds
Hamza Choudhury,MID,Leicester
Kelechi Iheanacho,FWD,Leicester
Yan Valery,DEF,Southampton
Rayan Aït-Nouri,DEF,Wolves
Chem Campbell,MID,Wolves
Phil Jones,DEF,Man Utd
Michael Keane,DEF,Everton
Emiliano Marcondes,MID,Bournemouth
Boubakary Soumaré,MID,Leicester
Kepa Arrizabalaga,GK,Chelsea
Joe Lolley,MID,Nott'm Forest
Yoane Wissa,MID,Brentford
Harry Arter,MID,Nott'm Forest
Darko Gyabi,MID,Leeds
Manuel Lanzini,MID,West Ham
Ayoze Pérez,MID,Leicester
Sam Johnstone,GK,Crystal Palace
Kasper Schmeichel,GK,Leicester
Marcus Forss,FWD,Brentford
Adam Webster,DEF,Brighton
James Tarkowski,DEF,Everton
Stefan Bajcetic,MID,Liverpool
Dominic Calvert-Lewin,FWD,Everton
Toti António Gomes,DEF,Wolves
Marc Albrighton,MID,Leicester
Adama Traoré Diarra,MID,Wolves
Joe Bryan,DEF,Fulham
Matt Doherty,DEF,Spurs
Adam Lallana,MID,Brighton
Eric Dier,DEF,Spurs
Ruben Loftus-Cheek,MID,Chelsea
Neal Maupay,FWD,Brighton
Lewis O'Brien,MID,Nott'm Forest
Gabriel Martinelli Silva,MID,Arsenal
Japhet Tanganga,DEF,Spurs
Charlie Goode,DEF,Brentford
Neco Williams,DEF,Nott'm Forest
John McGinn,MID,Aston Villa
Conor Coventry,MID,West Ham
Josh Wilson-Esbrand,DEF,Man City
Alphonse Areola,GK,West Ham
Patson Daka,FWD,Leicester
Thiago Emiliano da Silva,DEF,Chelsea
Terence Kongolo,DEF,Fulham
Abdoulaye Doucouré,MID,Everton
Jamal Lewis,DEF,Newcastle
Tyrese Francois,MID,Fulham
Illan Meslier,GK,Leeds
Sergio Reguilón,DEF,Spurs
Moisés Caicedo Corozo,MID,Brighton
Omar Richards,DEF,Nott'm Forest
David De Gea Quintana,GK,Man Utd
Lukasz Fabianski,GK,West Ham
Curtis Jones,MID,Liverpool
Reece James,DEF,Chelsea
Josh Onomah,MID,Fulham
Luke Shaw,DEF,Man Utd
Timothy Castagne,DEF,Leicester
Cédric Alves Soares,DEF,Arsenal
Albert Sambi Lokonga,MID,Arsenal
Rico Lewis,DEF,Man City
Brice Samba,GK,Nott'm Forest
Richarlison de Andrade,FWD,Spurs
Asmir Begović,GK,Everton
Ludwig Augustinsson,DEF,Aston Villa
Kenny Tete,DEF,Fulham
Callum Wilson,FWD,Newcastle
Kieran Tierney,DEF,Arsenal
Ilkay Gündogan,MID,Man City
Patrick Bamford,FWD,Leeds
Conor Coady,DEF,Wolves
Nicolas Pépé,MID,Arsenal
Tyrone Mings,DEF,Aston Villa
Kevin Mbabu,DEF,Fulham
Harvey White,MID,Spurs
José Malheiro de Sá,GK,Wolves
Demarai Gray,MID,Everton
Neeskens Kebano,MID,Fulham
Antonee Robinson,DEF,Fulham
Aaron Wan-Bissaka,DEF,Man Utd
Dominic Thompson,DEF,Brentford
James Garner,MID,Man Utd
Jordan Pickford,GK,Everton
Pascal Groß,MID,Brighton
Taylor Richards,MID,Brighton
Paul Dummett,DEF,Newcastle
Lucas Torreira di Pascua,MID,Arsenal
Rúben da Silva Neves,MID,Wolves
Stefan Ortega Moreno,GK,Man City
Emiliano Martínez Romero,GK,Aston Villa
Siriki Dembélé,MID,Bournemouth
Christian Nørgaard,MID,Brentford
Arthur Masuaku,DEF,West Ham
Tariq Lamptey,DEF,Brighton
Pablo Marí Villar,DEF,Arsenal
Scott McKenna,DEF,Nott'm Forest
Jeffrey Schlupp,MID,Crystal Palace
Tom Heaton,GK,Man Utd
Luke Harris,MID,Fulham
Douglas Luiz Soares de Paulo,MID,Aston Villa
Rhys Williams,DEF,Liverpool
Jordan Ayew,MID,Crystal Palace
Federico Fernández,DEF,Newcastle
Aaron Cresswell,DEF,West Ham
Andrew Robertson,DEF,Liverpool
Pablo Fornals Malla,MID,West Ham
Marcos Alonso,DEF,Chelsea
Nélson Cabral Semedo,DEF,Wolves
Harry Kane,FWD,Spurs
Will Dennis,GK,Bournemouth
Julio Enciso,FWD,Brighton
Gabriel Fernando de Jesus,FWD,Arsenal
Kortney Hause,DEF,Aston Villa
Ben Godfrey,DEF,Everton
Jay Stansfield,FWD,Fulham
Diogo Dalot Teixeira,DEF,Man Utd
Brandon Williams,DEF,Man Utd
Tino Livramento,DEF,Southampton
Alejandro Garnacho,MID,Man Utd
Mohamed Dräger,DEF,Nott'm Forest
Anwar El Ghazi,MID,Aston Villa
Stuart Dallas,DEF,Leeds
Marc Guéhi,DEF,Crystal Palace
Raphael Dias Belloli,MID,Leeds
Philippe Coutinho Correia,MID,Aston Villa
Djed Spence,DEF,Spurs
Dan Burn,DEF,Newcastle
Jack Butland,GK,Crystal Palace
Mateo Kovacic,MID,Chelsea
Dele Alli,MID,Everton
Diego Llorente,DEF,Leeds
Malcolm Ebiowei,MID,Crystal Palace
Kacper Kozłowski,MID,Brighton
Nikola Vlasic,MID,West Ham
Troy Parrott,FWD,Spurs
David Brooks,MID,Bournemouth
Yves Bissouma,MID,Spurs
Caoimhin Kelleher,GK,Liverpool
Adrián San Miguel del Castillo,GK,Liverpool
Conor Gallagher,MID,Chelsea
Kalidou Koulibaly,DEF,Chelsea
Joël Veltman,DEF,Brighton
Boubacar Kamara,MID,Aston Villa
Ethan Ampadu,DEF,Chelsea
Kaine Kesler Hayden,DEF,Aston Villa
James Ward-Prowse,MID,Southampton
Morgan Sanson,MID,Aston Villa
Crysencio Summerville,MID,Leeds
Harry Maguire,DEF,Man Utd
Donny van de Beek,MID,Man Utd
César Azpilicueta,DEF,Chelsea
Jadon Sancho,MID,Man Utd
Tyrell Malacia,DEF,Man Utd
Lewis Bate,MID,Leeds
Joseph Gomez,DEF,Liverpool
Mathias Jensen,MID,Brentford
Nathan Tella,MID,Southampton
Jan Paul van Hecke,DEF,Brighton
Ivan Perišić,DEF,Spurs
Eddie Nketiah,FWD,Arsenal
Callum Hudson-Odoi,MID,Chelsea
Fabio Silva,FWD,Wolves
Virgil van Dijk,DEF,Liverpool
Yerry Mina,DEF,Everton
Jaden Philogene-Bidace,MID,Aston Villa
Jeff Hendrick,MID,Newcastle
Dejan Kulusevski,MID,Spurs
Leon Bailey,MID,Aston Villa
James Maddison,MID,Leicester
Cole Palmer,MID,Man City
Davinson Sánchez,DEF,Spurs
Raheem Sterling,MID,Chelsea
Jordan Henderson,MID,Liverpool
Nathan Collins,DEF,Wolves
Christian Pulisic,MID,Chelsea
Jaidon Anthony,MID,Bournemouth
Pascal Struijk,DEF,Leeds
Matt Targett,DEF,Newcastle
Alex McCarthy,GK,Southampton
Jamal Lowe,MID,Bournemouth
Ryan Yates,MID,Nott'm Forest
Darwin Núñez Ribeiro,FWD,Liverpool
Calum Chambers,DEF,Aston Villa
Seamus Coleman,DEF,Everton
Rodrigo Muniz Carvalho,FWD,Fulham
Theo Walcott,MID,Southampton
Marc Roca Junqué,MID,Leeds
Vladimir Coufal,DEF,West Ham
Shane Duffy,DEF,Fulham
Frédéric Guilbert,DEF,Aston Villa
Rasmus Kristensen,DEF,Leeds
Riyad Mahrez,MID,Man City
Danny Ings,FWD,Aston Villa
Andros Townsend,MID,Everton
Marcus Tavernier,MID,Bournemouth
Ivan Neves Abreu Cavaleiro,MID,Fulham
Jonjo Shelvey,MID,Newcastle
Victor Lindelöf,DEF,Man Utd
Miguel Almirón Rejala,MID,Newcastle
Odsonne Edouard,FWD,Crystal Palace
Christian Benteke,FWD,Crystal Palace
Tim Iroegbunam,MID,Aston Villa
Lyle Taylor,FWD,Nott'm Forest
Jack Colback,MID,Nott'm Forest
Elliot Anderson,MID,Newcastle
Deniz Undav,FWD,Brighton
Tom Cairney,MID,Fulham
Jonathan Castro Otto,DEF,Wolves
Youri Tielemans,MID,Leicester
Jonathan Panzo,DEF,Nott'm Forest
Romain Perraud,DEF,Southampton
Kristoffer Klaesson,GK,Leeds
Harrison Reed,MID,Fulham
Fábio Freitas Gouveia Carvalho,MID,Liverpool
Clément Lenglet,DEF,Spurs
Alexis Mac Allister,MID,Brighton
Eberechi Eze,MID,Crystal Palace
Anthony Elanga,MID,Man Utd
Luis Díaz,MID,Liverpool
Bobby De Cordova-Reid,MID,Fulham
Alex Telles,DEF,Man Utd
Bruno Guimarães Rodriguez Moura,MID,Newcastle
Gabriel dos Santos Magalhães,DEF,Arsenal
Emerson Palmieri dos Santos,DEF,Chelsea
Martin Ødegaard,MID,Arsenal
João Filipe Iria Santos Moutinho,MID,Wolves
Ethan Pinnock,DEF,Brentford
Facundo Pellistri Rebollo,MID,Man Utd
Reiss Nelson,MID,Arsenal
Vicente Guaita,GK,Crystal Palace
James Justin,DEF,Leicester
Çaglar Söyüncü,DEF,Leicester
Hugo Lloris,GK,Spurs
Nick Pope,GK,Newcastle
Oliver Skipp,MID,Spurs
Ryan Sessegnon,DEF,Spurs
Ashley Young,DEF,Aston Villa
Jeremy Sarmiento Morante,MID,Brighton
Philip Billing,MID,Bournemouth
Ethan Nwaneri,MID,Arsenal
Martial Godo,MID,Fulham
Emmanuel Dennis,FWD,Nott'm Forest
Maxwel Cornet,MID,West Ham
Lamare Bogarde,DEF,Aston Villa
Lucas Tolentino Coelho de Lima,MID,West Ham
Alexander Isak,FWD,Newcastle
Juan Larios López,DEF,Southampton
Owen Bevan,DEF,Bournemouth
Matthew Cox,GK,Brentford
Cheikhou Kouyaté,MID,Nott'm Forest
Loïc Badé,DEF,Nott'm Forest
Pervis Estupiñán,DEF,Brighton
Bobby Clark,MID,Liverpool
Kaden Rodney,MID,Crystal Palace
Sammy Braybrooke,MID,Leicester
Amadou Onana,MID,Everton
Alex Smithies,GK,Leicester
Mathias Jorgensen,DEF,Brentford
Wout Faes,DEF,Leicester
Willian Borges da Silva,MID,Fulham
Ed Turns,DEF,Brighton
Harvey Davies,GK,Liverpool
Marcus Bettinelli,GK,Chelsea
Denis Zakaria,MID,Chelsea
Arthur Henrique Ramos de Oliveira Melo,MID,Liverpool
Antony Matheus dos Santos,MID,Man Utd
Harvey Vale,MID,Chelsea
Idrissa Gueye,MID,Everton
Layvin Kurzawa,DEF,Fulham
Reece Welch,DEF,Everton
Killian Phillips,MID,Crystal Palace
Claudio Gomes,MID,Man City
Norberto Murara Neto,GK,Bournemouth
Loris Karius,GK,Newcastle
Christian Saydee,FWD,Bournemouth
Thilo Kehrer,DEF,West Ham
Ryan Trevitt,MID,Brentford
Pierre-Emerick Aubameyang,FWD,Chelsea
Evan Ferguson,FWD,Brighton
Duje Caleta-Car,DEF,Southampton
Terry Ablade,FWD,Fulham
Diego Da Silva Costa,FWD,Wolves
Boubacar Traoré,MID,Wolves
Matheus Luiz Nunes,MID,Wolves
Serge Aurier,DEF,Nott'm Forest
Manuel Akanji,DEF,Man City
Joel Robles,GK,Leeds
Matej Kovár,GK,Man Utd
Sasa Kalajdzic,FWD,Wolves
John-Kymani Gordon,FWD,Crystal Palace
Kyle John,DEF,Everton
Mikkel Damsgaard,MID,Brentford
Eldin Jakupovic,GK,Everton
Stefan Parkes,DEF,Fulham
Lino Sousa,DEF,Arsenal
Remo Freuler,MID,Nott'm Forest
Joseph Whitworth,GK,Crystal Palace
Ben Knight,MID,Man City
Samuel Edozie,MID,Southampton
Carlos Henrique Casimiro,MID,Man Utd
Carlos Vinícius Alves Morais,FWD,Fulham
Renan Augusto Lodi dos Santos,DEF,Nott'm Forest
Matthew Smith,MID,Arsenal
Wilfried Gnonto,FWD,Leeds
Marcos Senesi,DEF,Bournemouth
Sergio Gómez,DEF,Man City
Gonçalo Manuel Ganchinho Guedes,MID,Wolves
Kofi Balmer,DEF,Crystal Palace
Kobbie Mainoo,MID,Man Utd
Owen Goodman,GK,Crystal Palace
Joe Wormleighton,DEF,Leicester
Lewis Payne,MID,Southampton
Tristan Crama,DEF,Brentford
Ryan Finnigan,MID,Southampton
Cameron Plain,GK,Bournemouth
Yegor Yarmolyuk,MID,Brentford
Andrew Moran,MID,Brighton
Omari Hutchinson,MID,Chelsea
Karl Hein,GK,Arsenal
Nathan Bishop,GK,Man Utd
Jack Wells-Morrison,MID,Crystal Palace
James Furlong,DEF,Brighton
Shola Shoretire,FWD,Man Utd
Mateo Joseph Fernández,FWD,Leeds
Lewis Hall,MID,Chelsea
Harvey Griffiths,MID,Wolves
Nathan Fraser,FWD,Wolves
Ben Doak,MID,Liverpool
Dale Taylor,FWD,Nott'm Forest
Dexter Lembikisa,DEF,Wolves
Kristian Sekularac,MID,Fulham
Sonny Perkins,FWD,Leeds
Thomas Cannon,FWD,Everton
Jimmy Morgan,FWD,Southampton
Jordan Smith,GK,Nott'm Forest
Bashir Humphreys,DEF,Chelsea
Kadan Young,MID,Aston Villa
Divin Mubama,FWD,West Ham
Rhys Bennett,DEF,Man Utd
Amario Cozier-Duberry,MID,Arsenal
Filip Marschall,GK,Aston Villa
David Ozoh,MID,Crystal Palace
Isaac Price,MID,Everton
Jack Hinshelwood,MID,Brighton
Ellis Simms,FWD,Everton
Gustavo Henrique Furtado Scarpa,MID,Nott'm Forest
Kasey McAteer,MID,Leicester
João Félix Sequeira,FWD,Chelsea
Benoît Badiashile,DEF,Chelsea
David Datro Fofana,FWD,Chelsea
Cody Gakpo,MID,Liverpool
Garang Kuol,MID,Newcastle
Facundo Buonanotte,MID,Brighton
Nathan Butler-Oyedeji,FWD,Arsenal
Matheus Santos Carneiro Da Cunha,FWD,Wolves
Mislav Orsic,MID,Southampton
Maximilian Wöber,DEF,Leeds
Alexandre Moreno Lopera,DEF,Aston Villa
Carlos Alcaraz,MID,Southampton
Mario Lemina,MID,Wolves
Daniel Adu-Adjei,FWD,Bournemouth
Michael Dacosta Gonzalez,MID,Bournemouth
Kevin Schade,MID,Brentford
Wout Weghorst,FWD,Man Utd
Dominic Sadi,FWD,Bournemouth
Andrey Nascimento dos Santos,MID,Chelsea
Euan Pollock,FWD,Bournemouth
Danilo dos Santos de Oliveira,MID,Nott'm Forest
Georginio Rutter,FWD,Leeds
Viljami Sinisalo,GK,Aston Villa
Pablo Sarabia,MID,Wolves
Mykhailo Mudryk,MID,Chelsea
Dango Ouattara,MID,Bournemouth
Enzo Fernández,MID,Chelsea
Keylor Navas,GK,Nott'm Forest
Ben Greenwood,DEF,Bournemouth
Arnaut Danjuma,MID,Spurs
Sasa Lukic,MID,Fulham
Matías Viña,DEF,Bournemouth
Wanya Marçal-Madivadua,MID,Leicester
Kamaldeen Sulemana,MID,Southampton
João Victor Gomes da Silva,MID,Wolves
Noni Madueke,MID,Chelsea
Joseph Anang,GK,West Ham
Weston McKennie,MID,Leeds
Jakub Kiwior,DEF,Arsenal
Harry Souttar,DEF,Leicester
Yasin Ayari,MID,Brighton
Victor Kristiansen,DEF,Leicester
Paul Onuachu,FWD,Southampton
Mateus Cardoso Lemos Martins,MID,Leicester
Krisztián Hegyi,GK,West Ham
Antoine Semenyo,FWD,Bournemouth
James Bree,DEF,Southampton
Marcel Sabitzer,MID,Man Utd
Odeluga Offiah,DEF,Brighton
Illia Zabarnyi,DEF,Bournemouth
Hamed Traorè,MID,Bournemouth
Max Kinsey-Wellings,DEF,Bournemouth
