name,position,team
Aaron Wan-Bissaka,DEF,West Ham
Bobby De Cordova-Reid,MID,Leicester
Nathan Broadhead,MID,Ipswich
Matheus Luiz Nunes,MID,Man City
Jake O'Brien,DEF,Everton
Cameron Peupion,MID,Brighton
Kosta Nedeljković,DEF,Aston Villa
Jay Stansfield,FWD,Fulham
Nikola Milenković,DEF,Nott'm Forest
Sepp van den Berg,DEF,Liverpool
Kevin Mbabu,DEF,Fulham
Malang Sarr,DEF,Chelsea
Jarrad Branthwaite,DEF,Everton
Mats Wieffer,MID,Brighton
Kyle Walker,DEF,Man City
Shea Charles,MID,Southampton
Samuel Edozie,MID,Southampton
Robert Sánchez,GK,Chelsea
Sergio Reguilón,DEF,Spurs
Conor Townsend,DEF,Ipswich
Ricardo Barbosa Pereira,DEF,Leicester
Massimo Luongo,MID,Ipswich
Harvey Elliott,MID,Liverpool
Garang Kuol,MID,Newcastle
Rúben Gato Alves Dias,DEF,Man City
Romelu Lukaku Bolingoli,FWD,Chelsea
Ben Chilwell,DEF,Chelsea
George Hirst,FWD,Ipswich
Daniel Jebbison,FWD,Bournemouth
Tyrick Mitchell,DEF,Crystal Palace
Myles Peart-Harris,MID,Brentford
Mahmoud Dahoud,MID,Brighton
Jonathan Panzo,DEF,Nott'm Forest
Nico O'Reilly,MID,Man City
Aaron Ramsdale,GK,Arsenal
Moussa Diaby,MID,Aston Villa
Micky van de Ven,DEF,Spurs
Igor Thiago Nascimento Rodrigues,FWD,Brentford
Callum Hudson-Odoi,MID,Nott'm Forest
Armel Bella-Kotchap,DEF,Southampton
Rodrigo Martins Gomes,MID,Wolves
Lamare Bogarde,DEF,Aston Villa
Noussair Mazraoui,DEF,Man Utd
Cameron Archer,FWD,Southampton
Ezri Konsa Ngoyo,DEF,Aston Villa
Pedro Porro,DEF,Spurs
Alfie Devine,MID,Spurs
Elkan Baggott,DEF,Ipswich
Erling Haaland,FWD,Man City
Leif Davis,DEF,Ipswich
Virgil van Dijk,DEF,Liverpool
Konstantinos Mavropanos,DEF,West Ham
Matt Turner,GK,Nott'm Forest
Juan Larios López,DEF,Southampton
Harry Toffolo,DEF,Nott'm Forest
Toby Collyer,MID,Man Utd
Caleb Wiley,DEF,Chelsea
Ethan Pinnock,DEF,Brentford
William Saliba,DEF,Arsenal
Altay Bayindir,GK,Man Utd
Rodrigo Bentancur,MID,Spurs
Dominic Solanke-Mitchell,FWD,Spurs
Chris Richards,DEF,Crystal Palace
Rayan Aït-Nouri,DEF,Wolves
James Justin,DEF,Leicester
Joshua Zirkzee,FWD,Man Utd
Martin Ødegaard,MID,Arsenal
Cesare Casadei,MID,Chelsea
Jaden Philogene,MID,Aston Villa
Mario Lemina,MID,Wolves
Adam Wharton,MID,Crystal Palace
Luis Sinisterra,MID,Bournemouth
Michael Keane,DEF,Everton
Omar Richards,DEF,Nott'm Forest
Álex Moreno Lopera,DEF,Aston Villa
Stephy Mavididi,MID,Leicester
Anthony Gordon,MID,Newcastle
Diego Carlos Santos Silva,DEF,Aston Villa
Facundo Pellistri Rebollo,MID,Man Utd
Trent Alexander-Arnold,DEF,Liverpool
Josh King,MID,Fulham
Wanya Marçal-Madivádua,MID,Leicester
Jamal Lewis,DEF,Newcastle
Jørgen Strand Larsen,FWD,Wolves
Jack Harrison,MID,Everton
Riccardo Calafiori,DEF,Arsenal
Luke Cundle,MID,Wolves
Jan Bednarek,DEF,Southampton
André Onana,GK,Man Utd
Odsonne Edouard,FWD,Crystal Palace
Deivid Washington de Souza Eugênio,FWD,Chelsea
Lewis O'Brien,MID,Nott'm Forest
Bukayo Saka,MID,Arsenal
Alex Mighten,MID,Nott'm Forest
Djed Spence,DEF,Spurs
Hamza Choudhury,MID,Leicester
Wesley Fofana,DEF,Chelsea
Lucas Digne,DEF,Aston Villa
Joe Aribo,MID,Southampton
Fábio Ferreira Vieira,MID,Arsenal
Guglielmo Vicario,GK,Spurs
Nathan Fraser,FWD,Wolves
Christian Walton,GK,Ipswich
Matthijs de Ligt,DEF,Man Utd
Jack Hinshelwood,MID,Brighton
Antoine Semenyo,MID,Bournemouth
Will Dennis,GK,Bournemouth
Omari Giraud-Hutchinson,MID,Ipswich
Dane Scarlett,FWD,Spurs
Joe Lumley,GK,Southampton
Dwight McNeil,MID,Everton
Kim Ji-soo,DEF,Brentford
Andy Irving,MID,West Ham
Karl Hein,GK,Arsenal
Nathaniel Clyne,DEF,Crystal Palace
Saša Lukić,MID,Fulham
Kevin De Bruyne,MID,Man City
Norberto Murara Neto,GK,Bournemouth
Tyrell Malacia,DEF,Man Utd
Lucas Tolentino Coelho de Lima,MID,West Ham
Lewis Dunk,DEF,Brighton
Mason Holgate,DEF,Everton
Kurt Zouma,DEF,West Ham
Sékou Mara,FWD,Southampton
Antony Matheus dos Santos,MID,Man Utd
Kalvin Phillips,MID,Ipswich
Ibrahima Konaté,DEF,Liverpool
Chadi Riad Dnanou,DEF,Crystal Palace
Freddie Ladapo,FWD,Ipswich
Levi Colwill,DEF,Chelsea
Nick Pope,GK,Newcastle
Jorge Luiz Frello Filho,MID,Arsenal
Luke Woolfenden,DEF,Ipswich
Łukasz Fabiański,GK,West Ham
Idrissa Gueye,MID,Everton
Joe Gomez,DEF,Liverpool
Dominic Calvert-Lewin,FWD,Everton
Yerson Mosquera,DEF,Wolves
Konstantinos Tsimikas,DEF,Liverpool
Christian Nørgaard,MID,Brentford
Emiliano Martínez Romero,GK,Aston Villa
Declan Rice,MID,Arsenal
Dejan Kulusevski,MID,Spurs
Pascal Groß,MID,Brighton
Gabriel dos Santos Magalhães,DEF,Arsenal
Cody Gakpo,FWD,Liverpool
Mohammed Kudus,MID,West Ham
Benicio Baker-Boaitey,MID,Brighton
Vitaly Janelt,MID,Brentford
Adama Traoré,MID,Fulham
Alexis Mac Allister,MID,Liverpool
Endo Wataru,MID,Liverpool
João Pedro Ferreira Silva,MID,Nott'm Forest
Ashley Phillips,DEF,Spurs
Keane Lewis-Potter,MID,Brentford
Ben Johnson,DEF,Ipswich
Michael Golding,MID,Leicester
Remi Matthews,GK,Crystal Palace
Alfie Gilchrist,DEF,Chelsea
Nayef Aguerd,DEF,West Ham
Emile Smith Rowe,MID,Fulham
Enes Ünal,FWD,Bournemouth
Lucas Bergström,GK,Chelsea
Kacper Kozłowski,MID,Brighton
Axel Tuanzebe,DEF,Ipswich
Gabriel Fernando de Jesus,FWD,Arsenal
Iliman Ndiaye,FWD,Everton
David Raya Martin,GK,Arsenal
Enso González,MID,Wolves
Archie Gray,MID,Spurs
Christopher Nkunku,MID,Chelsea
Manuel Akanji,DEF,Man City
Ryan Gravenberch,MID,Liverpool
Joe Willock,MID,Newcastle
Mark Flekken,GK,Brentford
Lewis Cook,MID,Bournemouth
Alex Iwobi,MID,Fulham
Ethan Nwaneri,MID,Arsenal
Ross Stewart,FWD,Southampton
Matt Doherty,DEF,Wolves
Alejo Véliz,FWD,Spurs
Isaac Hayden,MID,Newcastle
Wilson Odobert,MID,Spurs
Conor Bradley,DEF,Liverpool
Tom Cairney,MID,Fulham
Jarell Quansah,DEF,Liverpool
Jacob Ramsey,MID,Aston Villa
Emiliano Buendía Stati,MID,Aston Villa
James McAtee,MID,Man City
Andrew Robertson,DEF,Liverpool
Luke Harris,MID,Fulham
Youri Tielemans,MID,Aston Villa
João Neves Virgínia,GK,Everton
Oleksandr Zinchenko,DEF,Arsenal
Francisco Jorge Tomás Oliveira,MID,Wolves
Ederson Santana de Moraes,GK,Man City
Andrew Omobamidele,DEF,Nott'm Forest
Norberto Bercique Gomes Betuncal,FWD,Everton
Diogo Dalot Teixeira,DEF,Man Utd
Pape Matar Sarr,MID,Spurs
Danny Welbeck,FWD,Brighton
Yankuba Minteh,MID,Brighton
Nathan Aké,DEF,Man City
Bernd Leno,GK,Fulham
Jamaal Lascelles,DEF,Newcastle
Axel Disasi,DEF,Chelsea
Kevin Schade,MID,Brentford
Victor Kristiansen,DEF,Leicester
Kyle Walker-Peters,DEF,Southampton
Daniel Bentley,GK,Wolves
Ivan Toney,FWD,Brentford
Antonee Robinson,DEF,Fulham
Romain Faivre,MID,Bournemouth
James Ward-Prowse,MID,West Ham
Patson Daka,FWD,Leicester
Illia Zabarnyi,DEF,Bournemouth
Gavin Bazunu,GK,Southampton
Sven Botman,DEF,Newcastle
Hugo Bueno López,DEF,Wolves
Danny Ward,GK,Leicester
Samuel Amo-Ameyaw,MID,Southampton
Joe Gauci,GK,Aston Villa
João Pedro Junqueira de Jesus,FWD,Brighton
Justin Kluivert,MID,Bournemouth
Martin Dúbravka,GK,Newcastle
Flynn Downes,MID,Southampton
Alejandro Garnacho,MID,Man Utd
Ronnie Edwards,DEF,Southampton
Edson Álvarez Velázquez,MID,West Ham
Jack Grealish,MID,Man City
Marcus Myers-Harness,MID,Ipswich
Jack Taylor,MID,Ipswich
Simon Adingra,MID,Brighton
Ben Mee,DEF,Brentford
Leon Chiwome,FWD,Wolves
Eric da Silva Moreira,MID,Nott'm Forest
Luis Guilherme Lira dos Santos,MID,West Ham
Joe Hodge,MID,Wolves
Harrison Armstrong,MID,Everton
Carney Chukwuemeka,MID,Chelsea
Tom King,GK,Wolves
Wout Faes,DEF,Leicester
Leny Yoro,DEF,Man Utd
Pedro Lomba Neto,MID,Chelsea
Ian Maatsen,DEF,Aston Villa
Harry Winks,MID,Leicester
Mads Roerslev Rasmussen,DEF,Brentford
Jurriën Timber,DEF,Arsenal
Saša Kalajdžić,FWD,Wolves
Anthony Elanga,MID,Nott'm Forest
Julio Enciso,MID,Brighton
Naouirou Ahamada,MID,Crystal Palace
Jeremy Sarmiento Morante,MID,Brighton
Vladimír Coufal,DEF,West Ham
Marc Cucurella Saseta,DEF,Chelsea
Toti António Gomes,DEF,Wolves
Cristian Romero,DEF,Spurs
Dan Burn,DEF,Newcastle
Destiny Udogie,DEF,Spurs
Jordan Pickford,GK,Everton
Boubacar Traoré,MID,Wolves
Stefan Bajčetić Maquieira,MID,Liverpool
Mikkel Damsgaard,MID,Brentford
Luis Díaz,MID,Liverpool
Enzo Barrenechea,MID,Aston Villa
Carlos Vinícius Alves Morais,FWD,Fulham
Pervis Estupiñán,DEF,Brighton
James Milner,MID,Brighton
Ryan Trevitt,MID,Brentford
Enzo Fernández,MID,Chelsea
Luke Shaw,DEF,Man Utd
Fábio Freitas Gouveia Carvalho,MID,Brentford
Jérémy Doku,MID,Man City
Marcus Bettinelli,GK,Chelsea
Alisson Ramses Becker,GK,Liverpool
Aaron Hickey,DEF,Brentford
Alex McCarthy,GK,Southampton
Neal Maupay,FWD,Everton
Steven Benda,GK,Fulham
Dean Henderson,GK,Crystal Palace
Ki-Jana Hoever,DEF,Wolves
Cheick Doucouré,MID,Crystal Palace
Scott McTominay,MID,Man Utd
Wilfred Ndidi,MID,Leicester
John Ruddy,GK,Newcastle
Caleb Okoli,DEF,Leicester
Odysseas Vlachodimos,GK,Newcastle
George Earthy,MID,West Ham
Daichi Kamada,MID,Crystal Palace
Reece James,DEF,Chelsea
Conor Chaplin,MID,Ipswich
Santiago Bueno,DEF,Wolves
Corrie Ndaba,DEF,Ipswich
Kenny Tete,DEF,Fulham
Pablo Sarabia,MID,Wolves
Diogo Teixeira da Silva,MID,Liverpool
Kortney Hause,DEF,Aston Villa
Liam Delap,FWD,Ipswich
Tino Livramento,DEF,Newcastle
Tyler Adams,MID,Bournemouth
Danilo dos Santos de Oliveira,MID,Nott'm Forest
Jenson Metcalfe,MID,Everton
Marcus Rashford,MID,Man Utd
James Maddison,MID,Spurs
Daniel Muñoz,DEF,Crystal Palace
Bruno Guimarães Rodriguez Moura,MID,Newcastle
Fraser Forster,GK,Spurs
Elliot Anderson,MID,Nott'm Forest
Charlie Taylor,DEF,Southampton
Bryan Mbeumo,MID,Brentford
Matty Cash,DEF,Aston Villa
Adam Lallana,MID,Southampton
Sandro Tonali,MID,Newcastle
Issa Diop,DEF,Fulham
Igor Julio dos Santos de Paulo,DEF,Brighton
Joelinton Cássio Apolinário de Lira,MID,Newcastle
John McGinn,MID,Aston Villa
Oscar Bobb,MID,Man City
Pedro Cardoso de Lima,DEF,Wolves
Pierre-Emile Højbjerg,MID,Spurs
Nathan Collins,DEF,Brentford
Jesper Lindstrøm,MID,Everton
Marc Guéhi,DEF,Crystal Palace
Mathias Jorgensen,DEF,Brentford
William Osula,FWD,Newcastle
Harry Souttar,DEF,Leicester
Jean-Philippe Mateta,FWD,Crystal Palace
Ben Nelson,DEF,Leicester
Bernardo Veiga de Carvalho e Silva,MID,Man City
Filip Jørgensen,GK,Chelsea
David Brooks,MID,Bournemouth
Son Heung-min,MID,Spurs
Solly March,MID,Brighton
Manor Solomon,MID,Spurs
Nathaniel Phillips,DEF,Liverpool
Kieran Trippier,DEF,Newcastle
John Stones,DEF,Man City
Sam Morsy,MID,Ipswich
Lewis Hall,DEF,Newcastle
Marc Guiu Paz,FWD,Chelsea
Tom Cannon,FWD,Leicester
Ben Davies,DEF,Spurs
Tyler Morton,MID,Liverpool
Matheus França de Oliveira,MID,Crystal Palace
Calvin Bassey,DEF,Fulham
Eddie Nketiah,FWD,Arsenal
Andreas Hoelgebaum Pereira,MID,Fulham
Matheus Santos Carneiro Da Cunha,FWD,Wolves
Amadou Onana,MID,Aston Villa
Morgan Rogers,MID,Aston Villa
Reiss Nelson,MID,Arsenal
Tosin Adarabioyo,DEF,Chelsea
Matt Targett,DEF,Newcastle
Filip Marschall,GK,Aston Villa
Jan Paul van Hecke,DEF,Brighton
Jean-Clair Todibo,DEF,West Ham
Chris Mepham,DEF,Bournemouth
Ollie Watkins,FWD,Aston Villa
Jorge Cuenca Barreno,DEF,Fulham
Rico Lewis,DEF,Man City
Julián Araujo Zúñiga,DEF,Bournemouth
Murillo Santiago Costa dos Santos,DEF,Nott'm Forest
James Tarkowski,DEF,Everton
Joël Veltman,DEF,Brighton
Jaidon Anthony,MID,Bournemouth
Kamaldeen Sulemana,MID,Southampton
Timo Werner,MID,Spurs
Tyrone Mings,DEF,Aston Villa
Matz Sels,GK,Nott'm Forest
Ryan Yates,MID,Nott'm Forest
Amad Diallo,MID,Man Utd
Sam Szmodics,MID,Ipswich
Malo Gusto,DEF,Chelsea
Hwang Ui-jo,FWD,Nott'm Forest
Jakub Stolarczyk,GK,Leicester
Lloyd Kelly,DEF,Newcastle
Valentín Barco,DEF,Brighton
Dean Huijsen,DEF,Bournemouth
Max Aarons,DEF,Bournemouth
Rhys Williams,DEF,Liverpool
Michail Antonio,FWD,West Ham
Ibrahim Osman,MID,Brighton
Lewis Miley,MID,Newcastle
Nathan Wood-Gordon,DEF,Southampton
Rodrigo Muniz Carvalho,FWD,Fulham
Benjamin White,DEF,Arsenal
Cameron Burgess,DEF,Ipswich
Abdul Fatawu,MID,Leicester
Dominik Szoboszlai,MID,Liverpool
Tim Iroegbunam,MID,Everton
Neco Williams,DEF,Nott'm Forest
Roméo Lavia,MID,Chelsea
Leon Bailey,MID,Aston Villa
Niclas Füllkrug,FWD,West Ham
Harvey Barnes,MID,Newcastle
Brennan Johnson,MID,Spurs
Andrew Moran,MID,Brighton
Harry Maguire,DEF,Man Utd
Mark Travers,GK,Bournemouth
Will Smallbone,MID,Southampton
Mykhailo Mudryk,MID,Chelsea
Hamed Traorè,MID,Bournemouth
Stefan Ortega Moreno,GK,Man City
Renato Palma Veiga,MID,Chelsea
Eberechi Eze,MID,Crystal Palace
Samuel Iling-Junior,MID,Aston Villa
Boubacar Kamara,MID,Aston Villa
Ali Al-Hamadi,FWD,Ipswich
Willy Boly,DEF,Nott'm Forest
Carlos Alcaraz Durán,MID,Southampton
Victor Lindelöf,DEF,Man Utd
Ross Barkley,MID,Aston Villa
James McConnell,MID,Liverpool
Kobbie Mainoo,MID,Man Utd
Adam Armstrong,FWD,Southampton
Aaron Cresswell,DEF,West Ham
Emil Krafth,DEF,Newcastle
Jakub Kiwior,DEF,Arsenal
Kristoffer Ajer,DEF,Brentford
Will Hughes,MID,Crystal Palace
David Ozoh,MID,Crystal Palace
Jakub Moder,MID,Brighton
Cieran Slicker,GK,Ipswich
Raheem Sterling,MID,Chelsea
Raúl Jiménez,FWD,Fulham
Bryan Gil Salvatierra,MID,Spurs
Myles Lewis-Skelly,MID,Arsenal
Giovani Lo Celso,MID,Spurs
Tawanda Chirewa,MID,Wolves
Cameron Humphreys,MID,Ipswich
Ashley Young,DEF,Everton
James Bree,DEF,Southampton
Harvey Davies,GK,Liverpool
Gustavo Nunes Fernandes Gomes,MID,Brentford
Alfie Pond,DEF,Wolves
Justin Devenny,MID,Crystal Palace
Jacob Wright,MID,Man City
Roman Dixon,DEF,Everton
Mikel Merino,MID,Arsenal
Federico Chiesa,MID,Liverpool
Issa Kaboré,DEF,Man City
Jayce Fitzgerald,MID,Man Utd
Orel Mangala,MID,Everton
Manuel Ugarte,MID,Man Utd
Felipe Rodrigues da Silva,DEF,Nott'm Forest
Ferdi Kadioglu,DEF,Brighton
Asmir Begovic,GK,Everton
Kaden Rodney,MID,Crystal Palace
Harry Amass,DEF,Man Utd
Jahmai Simpson-Pusey,DEF,Man City
Bilal El Khannouss,MID,Leicester
Asher Agbinone,MID,Crystal Palace
Kadan Young,MID,Aston Villa
Jack Fletcher,MID,Man Utd
Matt O'Riley,MID,Brighton
Killian Cahill,GK,Brighton
Tony Yogane,MID,Brentford
Franco Umeh-Chibueze,MID,Crystal Palace
Dara O'Shea,DEF,Ipswich
Oliwier Zych,GK,Aston Villa
Sil Swinkels,DEF,Aston Villa
Salah-Eddine Oulad M'hand,MID,Arsenal
Jens Cajuste,MID,Ipswich
Tommy Setford,GK,Arsenal
João Félix Sequeira,MID,Chelsea
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth
Kaelan Casey,DEF,West Ham
Ilkay Gündogan,MID,Man City
Ismeal Kabia,MID,Arsenal
Carlos Soler,MID,West Ham
Chiedozie Ogbene,MID,Ipswich
Ayden Heaven,DEF,Arsenal
Vítezslav Jaros,GK,Liverpool
Maxence Lacroix,DEF,Crystal Palace
Georginio Rutter,MID,Brighton
Bastien Meupiyou,DEF,Wolves
Paris Maghoma,MID,Brentford
Jayden Meghoma,DEF,Brentford
Caleb Kporha,DEF,Crystal Palace
Jack Clarke,MID,Ipswich
Ethan Wheatley,FWD,Man Utd
Josh Nichols,DEF,Arsenal
Nathan Butler-Oyedeji,FWD,Arsenal
Mateus Gonçalo Espanha Fernandes,MID,Southampton
Carlos Roberto Forbs Borges,MID,Wolves
André Trindade da Costa Neto,MID,Wolves
Imari Samuels,DEF,Brighton
Ramón Sosa,MID,Nott'm Forest
Sander Berge,MID,Fulham
Maldini Kacurri,DEF,Arsenal
Zach Marsh,FWD,Crystal Palace
Ollie Scarles,DEF,West Ham
Josh Wilson-Esbrand,DEF,Man City
Callum Bates,MID,Everton
Callum Olusesi,MID,Spurs
Malachi Hardy,DEF,Spurs
Ben Broggio,MID,Aston Villa
Max Kinsey,DEF,Bournemouth
Tom Edozie,MID,Wolves
Ruairi McConville,DEF,Brighton
Treymaurice Nyoni,MID,Liverpool
Ezra Mayers,DEF,West Ham
Jacob Slater,DEF,Brighton
Ben Winterburn,MID,Bournemouth
Luca Williams-Barnett,MID,Spurs
Samuel Amissah,DEF,Fulham
Amara Nallo,DEF,Liverpool
Godwill Kukonki,DEF,Man Utd
Joseph O'Brien-Whitmarsh,MID,Southampton
Tyrique George,MID,Chelsea
Josh Acheampong,DEF,Chelsea
Maeson King,DEF,Spurs
Lewis Orford,MID,West Ham
Alfie Dorrington,DEF,Spurs
Samuel Rak-Sakyi,MID,Chelsea
Divin Mubama,FWD,Man City
Henry Cartwright,MID,Leicester
Benjamin Arthur,DEF,Brentford
Max Alleyne,DEF,Man City
Archie Harris,DEF,Bournemouth
Spike Brits,GK,Man City
Jayden Danns,FWD,Liverpool
Remy Rees-Dottin,FWD,Bournemouth
Zach Abbott,DEF,Nott'm Forest
Thomas Wilson-Brown,DEF,Leicester
Jamaldeen Jimoh,MID,Aston Villa
Wes Okoduwa,DEF,Wolves
Welington Damascena Santos,DEF,Southampton
Antonín Kinsky,GK,Spurs
Emmanuel Agbadou,DEF,Wolves
Dominic Sadi,MID,Bournemouth
Martin Sherif,FWD,Everton
Wayne Hennessey,GK,Nott'm Forest
Joachim Kayi-Sanda,DEF,Southampton
Ben Godfrey,DEF,Ipswich
Daniel Adu-Adjei,FWD,Bournemouth
Diego Gómez,MID,Brighton
Julio Soler,DEF,Bournemouth
Matai Akinmboni,DEF,Bournemouth
Min-Hyeok Yang,MID,Spurs
Woyo Coulibaly,DEF,Leicester
Callan McKenna,GK,Bournemouth
Donyell Malen,MID,Aston Villa
Damola Ajayi,MID,Spurs
Zain Silcott-Duberry,MID,Bournemouth
Fabian Hürzeler,AM,Brighton
